f_name, R_at_min_dG/dR, min_dG/dR, max_G, R_at_max_G
datasets/barred_galaxies/poisson_noise_bg_run.252.s2.std_2_highres.fits.png,72.0,0.012815119964524661,0.2966268697079364,288.0
datasets/barred_galaxies/poisson_noise_bg_run652ht.01100_4_highres.fits.png,72.0,0.03624375874119087,0.18742439015832843,300.0
datasets/barred_galaxies/poisson_noise_bg_run699.00500_1_highres.fits.png,264.0,0.17462386183082365,0.20342223481577873,180.0
datasets/barred_galaxies/poisson_noise_bg_run653.00650_3_highres.fits.png,180.0,0.19987257369065656,0.23311272464782806,132.0
datasets/barred_galaxies/poisson_noise_bg_run662c.01400_1_highres.fits.png,216.0,0.17028124563095157,0.1987400876680445,144.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00800_2_highres.fits.png,204.0,0.20881298430030662,0.23936238000160004,156.0
datasets/barred_galaxies/poisson_noise_bg_run219_15000.std_3_highres.fits.png,264.0,0.24757597713548946,0.2837518896285148,192.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00700_2_highres.fits.png,192.0,0.20226883294917625,0.2377382004194407,132.0
datasets/barred_galaxies/poisson_noise_bg_run.280.std_3_highres.fits.png,264.0,0.2432968993573076,0.28418107340926113,192.0
datasets/barred_galaxies/poisson_noise_bg_run671.01400_1_highres.fits.png,228.0,0.15290466067127095,0.1751929048591343,168.0
datasets/barred_galaxies/poisson_noise_bg_run653.00950_3_highres.fits.png,168.0,0.21104921662149748,0.24236068113422937,108.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00700_2_highres.fits.png,180.0,0.2108311323200389,0.24378400850280127,132.0
datasets/barred_galaxies/poisson_noise_bg_run.282.std_2_highres.fits.png,300.0,0.2565329654325004,0.2703232588784324,252.0
datasets/barred_galaxies/poisson_noise_bg_run700.00300_1_highres.fits.png,228.0,0.1165684037816159,0.12877977296518697,168.0
datasets/barred_galaxies/poisson_noise_bg_run364.std_1_highres.fits.png,300.0,0.27242228460697876,0.3016340694362121,228.0
datasets/barred_galaxies/poisson_noise_bg_run677.01300_4_highres.fits.png,252.0,0.20989123727723122,0.23600953012705475,192.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00900_3_highres.fits.png,180.0,0.21936309097645118,0.2447036962390462,132.0
datasets/barred_galaxies/poisson_noise_bg_run662.00600_4_highres.fits.png,108.0,0.17177544754155877,0.19689112629632577,84.0
